#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A19EB6
#Date Time: 2016-12-07 10:35::39.545

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
3.1154815185933304,0.00087014584166844307,-6.3526372853474413,-13.100571078221279
3.1734439314802803,-0.0008950086217738816,-6.3605501371934405,-13.330274872739437
3.2324847142075384,-0.00051957827447311354,-6.3715843194500383,-13.557494816194819
3.2926239294580424,-0.00051556202693256946,-6.3817683854607505,-13.795544735868091
3.3538820131737395,-0.00087620809987362181,-6.3927698535012931,-14.034823009580336
3.4162797814999228,-0.00088370296284257064,-6.4045582152009413,-14.274958268732036
3.4798384378587777,-0.00061284776166658258,-6.4165114807736945,-14.52451686634565
3.544579580154537,-0.00093835225359618891,-6.4284217670556139,-14.77622272523854
3.6105252081126618,-0.00073304415203038781,-6.4409432049971755,-15.029383232295416
3.6776977307556007,-0.00084103376567990038,-6.4533202200966953,-15.291489889330961
3.7461199740175997,-0.0010263335668982876,-6.4668198902420206,-15.554316005028682
3.8158151885012006,-0.00094654117288485982,-6.4810111256679503,-15.819683275480713
3.8868070573780429,-0.00083153593931210986,-6.4953853512391344,-16.090073562104308
3.9591197044366551,-0.00092501233103764143,-6.5096463367064104,-16.367148533148921
4.0327777022799642,-0.0007358352982034629,-6.5248212443328022,-16.644197167571065
4.1078060806753447,-0.00074723236136021228,-6.5402524153615618,-16.927046700084333
4.1842303350599872,-0.00066167918482978427,-6.5561076062571892,-17.214142819600809
4.262076435204512,-0.00070722592637387845,-6.5729140073089507,-17.507682438700115
4.3413708340378045,-0.00059655993918728781,-6.5895763746947535,-17.798847919525102
4.4221404766359305,-0.00065273415239363371,-6.6069663365162654,-18.099824001657993
4.5044128093784499,-0.00064462662647766188,-6.6252070859313781,-18.400668252234055
4.5882157892749023,-0.00087102670478879428,-6.6434276244111512,-18.711094603893272
4.6735778934649677,-0.00073351134804919445,-6.6625345118730959,-19.025002893927066
4.7605281288952312,-0.00080023338864612984,-6.6823373921136398,-19.338546289714998
4.8490960421761224,-0.00070557879590545331,-6.7025649820607427,-19.659788404955862
4.9393117296220801,-0.00071572883278081317,-6.7232348789324314,-19.983274073023054
5.031205847478696,-0.00038519101179771168,-6.7451978949744085,-20.310385728441688
5.1248096223399413,-0.0005935894036103274,-6.7672019316175769,-20.64409188547171
5.220154861759374,-0.0008555825241164047,-6.7898684300202845,-20.983711936437075
5.3172739650586065,-0.00063971859586400782,-6.8132743834277365,-21.323910766226405
5.4161999343369969,-0.00064678892997364185,-6.8376943321953938,-21.667315242629968
5.5169663856860831,-0.00064715812021916579,-6.8621835649395475,-22.018333291279959
5.6196075606126943,-0.00051770719941913741,-6.8883502972949842,-22.37370385747343
5.7241583376745737,-0.00059812855130059715,-6.9142510130239625,-22.732649811819698
5.8306542443324929,-0.00060657271679988398,-6.9408022761674086,-23.094829934131681
5.9391314690228327,-0.00068991626236195925,-6.9682264258999904,-23.459501799208027
6.0496268734548284,-0.00085225205962686883,-6.9968229710476884,-23.831031660782074
6.1621780051365524,-0.00070760159009039753,-7.0259346880814029,-24.20578147182691
6.2768231101339573,-0.0008144195407124693,-7.0561901361343704,-24.58317508522633
6.3936011460672919,-0.00089143872123002268,-7.0868307386044558,-24.966771288645845
6.5125517953493253,-0.00081432788456230947,-7.1185242678014937,-25.353037977503192
6.6337154786698163,-0.00098537287577858787,-7.1511222825641401,-25.743612026843735
6.7571333687309387,-0.0011002443209254371,-7.1847096502996388,-26.139860119557092
6.8828474042381718,-0.0010037161817248663,-7.2188743106746154,-26.539954273471992
7.0109003041515221,-0.00094371743621734518,-7.2544321952781541,-26.94198698453819
7.1413355822018874,-0.00083793002426176683,-7.2905304400176609,-27.346117067117248
